;time;undly;Delta;HedgingDelta;HedgingPos;TradePos;volume
0;2018-08-09;514.0;6337.191799999999;-6300;-63.0;-63.0;63.0
1;2018-08-10;506.5;6576.606600000001;-6500;-65.0;-2.0;2.0
2;2018-08-13;517.0;6500.9223999999995;-6500;-65.0;0.0;0.0
3;2018-08-14;506.5;7021.379199999999;-7000;-70.0;-5.0;5.0
4;2018-08-15;502.5;7160.3989999999985;-7100;-71.0;-1.0;1.0
5;2018-08-16;493.5;6945.471200000001;-6900;-69.0;2.0;2.0
6;2018-08-17;504.5;7451.089999999998;-7400;-74.0;-5.0;5.0
7;2018-08-20;506.5;7884.429399999999;-7800;-78.0;-4.0;4.0
8;2018-08-21;494.0;7883.6046;-7800;-78.0;0.0;0.0
9;2018-08-22;485.0;7009.7894;-7000;-70.0;8.0;8.0
10;2018-08-23;487.0;7525.146000000002;-7500;-75.0;-5.0;5.0
11;2018-08-24;490.5;8257.0572;-8200;-82.0;-7.0;7.0
12;2018-08-27;479.0;6625.501200000002;-6600;-66.0;16.0;16.0
13;2018-08-28;482.0;7651.602000000001;-7600;-76.0;-10.0;10.0
14;2018-08-29;480.0;7272.312599999999;-7200;-72.0;4.0;4.0
15;2018-08-30;484.5;8985.1944;-8900;-89.0;-17.0;17.0
16;2018-08-31;485.0;9552.099400000001;-9500;-95.0;-6.0;6.0
17;2018-09-03;484.5;10910.085000000003;-10900;-109.0;-14.0;14.0
18;2018-09-04;488.5;13977.863399999998;-13900;-139.0;-30.0;30.0
19;2018-09-05;487.0;14399.6394;-14300;-143.0;-4.0;4.0
20;2018-09-06;495.0;19383.477000000003;-19300;-193.0;-50.0;50.0
21;2018-09-07;498.0;20000.0;-20000;0.0;193.0;193.0
